Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,1,28.30,0.06,0.00,0.00,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,5,28.25,0.32,0.01,0.01,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Buy,1,28.30,0.06,0.00,0.00,Rolling,STT Paid,icicidirect,15-Apr-2013,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,186,283.50,43.86,1.69,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,20,283.55,4.72,0.18,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,45,283.75,10.62,0.41,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,6,283.60,1.42,0.05,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,19,283.55,4.48,0.17,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.50,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.50,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,5,283.80,1.18,0.05,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,62,283.55,14.62,0.56,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,283.60,0.24,0.01,0.00,TT,STT Paid,icicidirect,27-Mar-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,4,410.00,1.36,0.06,0.00,TT,STT Paid,icicidirect,29-May-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,246,410.00,83.93,3.45,0.00,TT,STT Paid,icicidirect,29-May-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,2,446.35,0.74,0.03,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,27,446.35,10.03,0.41,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,2,446.15,0.74,0.03,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,10,446.10,3.71,0.15,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,446.10,0.37,0.02,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,446.25,0.37,0.02,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,7,446.10,2.60,0.11,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,17,446.20,6.31,0.26,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,446.20,0.37,0.02,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,25,446.15,9.28,0.38,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,75,446.15,27.85,1.14,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,446.20,0.37,0.02,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,2,446.15,0.74,0.03,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,446.20,0.37,0.02,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,2,446.20,0.74,0.03,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,11,446.20,4.08,0.17,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,20,446.15,7.43,0.31,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,446.20,0.37,0.02,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,1,446.20,0.37,0.02,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
DLILIM,D-LINK INDIA LIMITED,INE250K01012,Sell,2,446.25,0.74,0.03,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
